	virus_type	district	season	case_number	year	area [ha]	population	population_density	population_density_bw	pop_exp	pop_dens_exp	area_exp	area [km^2]	area ex [km^2]	mean_pop_dens_exp
2296	IF A(H1N1) pandemic09	U	2005/06	0.0	2005	11869.0	120625.0	1016.0	300.0	110435.04	930.45	11868.76	118.6876	118.69	984.6486363636363
2297	IF A(H1N1) prepandemic	U	2005/06	0.0	2005	11869.0	120625.0	1016.0	300.0	110435.04	930.45	11868.76	118.6876	118.69	984.6486363636363
2298	IF A(H1N2)	U	2005/06	0.0	2005	11869.0	120625.0	1016.0	300.0	110435.04	930.45	11868.76	118.6876	118.69	984.6486363636363
2299	IF A(H3N2)	U	2005/06	0.0	2005	11869.0	120625.0	1016.0	300.0	110435.04	930.45	11868.76	118.6876	118.69	984.6486363636363
2300	IF A/B not determined	U	2005/06	1.0	2005	11869.0	120625.0	1016.0	300.0	110435.04	930.45	11868.76	118.6876	118.69	984.6486363636363
2301	IF B	U	2005/06	0.0	2005	11869.0	120625.0	1016.0	300.0	110435.04	930.45	11868.76	118.6876	118.69	984.6486363636363
2302	IF C	U	2005/06	0.0	2005	11869.0	120625.0	1016.0	300.0	110435.04	930.45	11868.76	118.6876	118.69	984.6486363636363
2303	not determined	U	2005/06	0.0	2005	11869.0	120625.0	1016.0	300.0	110435.04	930.45	11868.76	118.6876	118.69	984.6486363636363
2304	IF A	VS	2005/06	9.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2305	IF A(H1N1) pandemic09	VS	2005/06	0.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2306	IF A(H1N1) prepandemic	VS	2005/06	0.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2307	IF A(H1N2)	VS	2005/06	0.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2308	IF A(H3N2)	VS	2005/06	0.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2309	IF A/B not determined	VS	2005/06	2.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2310	IF B	VS	2005/06	1.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2311	IF C	VS	2005/06	0.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2312	not determined	VS	2005/06	0.0	2005	102524.0	211320.0	206.0	300.0	196904.89	192.05	102526.9	1025.269	1025.27	198.1522727272727
2313	IF A	WT	2005/06	49.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2314	IF A(H1N1) pandemic09	WT	2005/06	0.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2315	IF A(H1N1) prepandemic	WT	2005/06	0.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2316	IF A(H1N2)	WT	2005/06	0.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2317	IF A(H3N2)	WT	2005/06	0.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2318	IF A/B not determined	WT	2005/06	1.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2319	IF B	WT	2005/06	0.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2320	IF C	WT	2005/06	0.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2321	not determined	WT	2005/06	0.0	2005	113118.0	167274.0	148.0	300.0	156681.35	138.52	113115.33	1131.1533	1131.15	143.57909090909095
2322	IF A	AD	2006/07	11.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2323	IF A(H1N1) pandemic09	AD	2006/07	0.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2324	IF A(H1N1) prepandemic	AD	2006/07	0.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2325	IF A(H1N2)	AD	2006/07	0.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2326	IF A(H3N2)	AD	2006/07	0.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2327	IF A/B not determined	AD	2006/07	6.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2328	IF B	AD	2006/07	1.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2329	IF C	AD	2006/07	0.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2330	not determined	AD	2006/07	0.0	2006	135732.0	190189.0	140.0	300.0	178723.87	131.61	135793.33	1357.9333	1357.93	136.31454545454542
2331	IF A	BAD	2006/07	1.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2332	IF A(H1N1) pandemic09	BAD	2006/07	87.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2333	IF A(H1N1) prepandemic	BAD	2006/07	0.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2334	IF A(H1N2)	BAD	2006/07	0.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2335	IF A(H3N2)	BAD	2006/07	0.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2336	IF A/B not determined	BAD	2006/07	0.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2337	IF B	BAD	2006/07	0.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2338	IF C	BAD	2006/07	0.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2339	not determined	BAD	2006/07	0.0	2006	14018.0	54855.0	391.0	300.0	50561.27	360.66	14019.24	140.1924	140.19	372.385
2340	IF A	BB	2006/07	104.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2341	IF A(H1N1) pandemic09	BB	2006/07	0.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2342	IF A(H1N1) prepandemic	BB	2006/07	0.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2343	IF A(H1N2)	BB	2006/07	0.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2344	IF A(H3N2)	BB	2006/07	0.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2345	IF A/B not determined	BB	2006/07	14.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2346	IF B	BB	2006/07	4.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2347	IF C	BB	2006/07	0.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2348	not determined	BB	2006/07	1.0	2006	61783.0	372228.0	602.0	300.0	346966.16	561.6	61781.57	617.8157	617.82	587.7218181818182
2349	IF A	BC	2006/07	57.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2350	IF A(H1N1) pandemic09	BC	2006/07	0.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2351	IF A(H1N1) prepandemic	BC	2006/07	0.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2352	IF A(H1N2)	BC	2006/07	0.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2353	IF A(H3N2)	BC	2006/07	0.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2354	IF A/B not determined	BC	2006/07	2.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2355	IF B	BC	2006/07	0.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2356	IF C	BC	2006/07	0.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2357	not determined	BC	2006/07	0.0	2006	140981.0	188810.0	134.0	300.0	176863.48	125.46	140972.0	1409.72	1409.72	131.42499999999998
2358	IF A	BHS	2006/07	49.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2359	IF A(H1N1) pandemic09	BHS	2006/07	0.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2360	IF A(H1N1) prepandemic	BHS	2006/07	0.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2361	IF A(H1N2)	BHS	2006/07	0.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2362	IF A(H3N2)	BHS	2006/07	0.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2363	IF A/B not determined	BHS	2006/07	6.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2364	IF B	BHS	2006/07	2.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2365	IF C	BHS	2006/07	0.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2366	not determined	BHS	2006/07	0.0	2006	137833.0	250013.0	181.0	300.0	235403.1	170.79	137832.76	1378.3276	1378.33	178.15772727272727
2367	IF A	BL	2006/07	48.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2368	IF A(H1N1) pandemic09	BL	2006/07	0.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2369	IF A(H1N1) prepandemic	BL	2006/07	0.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2370	IF A(H1N2)	BL	2006/07	0.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2371	IF A(H3N2)	BL	2006/07	0.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2372	IF A/B not determined	BL	2006/07	2.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2373	IF B	BL	2006/07	6.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2374	IF C	BL	2006/07	0.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2375	not determined	BL	2006/07	0.0	2006	91771.0	192138.0	209.0	300.0	181472.46	197.75	91768.43	917.6842999999999	917.68	200.7631818181818
2376	IF A	BS	2006/07	18.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2377	IF A(H1N1) pandemic09	BS	2006/07	0.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2378	IF A(H1N1) prepandemic	BS	2006/07	2.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2379	IF A(H1N2)	BS	2006/07	0.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2380	IF A(H3N2)	BS	2006/07	2.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2381	IF A/B not determined	BS	2006/07	20.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2382	IF B	BS	2006/07	2.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2383	IF C	BS	2006/07	0.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2384	not determined	BS	2006/07	1.0	2006	66479.0	205832.0	310.0	300.0	196742.76	295.95	66478.76	664.7876	664.79	306.7249999999999
2385	IF A	CW	2006/07	68.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2386	IF A(H1N1) pandemic09	CW	2006/07	0.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2387	IF A(H1N1) prepandemic	CW	2006/07	0.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2388	IF A(H1N2)	CW	2006/07	0.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2389	IF A(H3N2)	CW	2006/07	0.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2390	IF A/B not determined	CW	2006/07	1.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2391	IF B	CW	2006/07	36.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2392	IF C	CW	2006/07	0.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2393	not determined	CW	2006/07	0.0	2006	79752.0	160341.0	201.0	300.0	144237.15	180.87	79746.14	797.4614	797.46	187.40772727272727
2394	IF A	EM	2006/07	17.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2395	IF A(H1N1) pandemic09	EM	2006/07	0.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2396	IF A(H1N1) prepandemic	EM	2006/07	0.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2397	IF A(H1N2)	EM	2006/07	0.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2398	IF A(H3N2)	EM	2006/07	0.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2399	IF A/B not determined	EM	2006/07	15.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2400	IF B	EM	2006/07	1.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2401	IF C	EM	2006/07	0.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2402	not determined	EM	2006/07	0.0	2006	67988.0	157265.0	231.0	300.0	150179.67	220.9	67986.48	679.8648	679.86	229.18227272727273
2403	IF A	ENZ	2006/07	6.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2404	IF A(H1N1) pandemic09	ENZ	2006/07	216.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2405	IF A(H1N1) prepandemic	ENZ	2006/07	0.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2406	IF A(H1N2)	ENZ	2006/07	0.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2407	IF A(H3N2)	ENZ	2006/07	0.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2408	IF A/B not determined	ENZ	2006/07	0.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2409	IF B	ENZ	2006/07	1.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2410	IF C	ENZ	2006/07	0.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2411	not determined	ENZ	2006/07	0.0	2006	57370.0	196159.0	342.0	300.0	186070.24	324.35	57368.48	573.6848	573.68	332.54318181818184
2412	IF A	ES	2006/07	117.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2413	IF A(H1N1) pandemic09	ES	2006/07	0.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2414	IF A(H1N1) prepandemic	ES	2006/07	0.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2415	IF A(H1N2)	ES	2006/07	0.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2416	IF A(H3N2)	ES	2006/07	0.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2417	IF A/B not determined	ES	2006/07	14.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2418	IF B	ES	2006/07	0.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2419	IF C	ES	2006/07	0.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2420	not determined	ES	2006/07	3.0	2006	64148.0	514108.0	801.0	300.0	488350.93	761.35	64142.95	641.4295	641.43	786.9686363636364
2421	IF A	FDS	2006/07	3.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2422	IF A(H1N1) pandemic09	FDS	2006/07	252.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2423	IF A(H1N1) prepandemic	FDS	2006/07	0.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2424	IF A(H1N2)	FDS	2006/07	0.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2425	IF A(H3N2)	FDS	2006/07	0.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2426	IF A/B not determined	FDS	2006/07	1.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2427	IF B	FDS	2006/07	0.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2428	IF C	FDS	2006/07	0.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2429	not determined	FDS	2006/07	0.0	2006	87068.0	122275.0	140.0	300.0	112270.01	128.96	87060.86	870.6086	870.61	131.26454545454547
2430	IF A	FR	2006/07	48.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2431	IF A(H1N1) pandemic09	FR	2006/07	0.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2432	IF A(H1N1) prepandemic	FR	2006/07	0.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2433	IF A(H1N2)	FR	2006/07	0.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2434	IF A(H3N2)	FR	2006/07	0.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2435	IF A/B not determined	FR	2006/07	29.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2436	IF B	FR	2006/07	2.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2437	IF C	FR	2006/07	0.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2438	not determined	FR	2006/07	0.0	2006	15306.0	217547.0	1421.0	300.0	206900.07	1351.76	15305.52	153.0552	153.06	1408.0099999999995
2439	IF A	GP	2006/07	64.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2440	IF A(H1N1) pandemic09	GP	2006/07	0.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2441	IF A(H1N1) prepandemic	GP	2006/07	0.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2442	IF A(H1N2)	GP	2006/07	0.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2443	IF A(H3N2)	GP	2006/07	0.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2444	IF A/B not determined	GP	2006/07	3.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2445	IF B	GP	2006/07	0.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2446	IF C	GP	2006/07	0.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2447	not determined	GP	2006/07	0.0	2006	64236.0	256967.0	400.0	300.0	239412.53	372.71	64235.29	642.3529	642.35	382.87000000000006
2448	IF A	HD	2006/07	4.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2449	IF A(H1N1) pandemic09	HD	2006/07	0.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2450	IF A(H1N1) prepandemic	HD	2006/07	0.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2451	IF A(H1N2)	HD	2006/07	0.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2452	IF A(H3N2)	HD	2006/07	0.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2453	IF A/B not determined	HD	2006/07	1.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2454	IF B	HD	2006/07	11.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2455	IF C	HD	2006/07	0.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2456	not determined	HD	2006/07	0.0	2006	10883.0	144634.0	1329.0	300.0	142850.22	1312.48	10883.67	108.83670000000001	108.84	1370.9886363636363
2457	IF A	HDH	2006/07	7.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2458	IF A(H1N1) pandemic09	HDH	2006/07	0.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2459	IF A(H1N1) prepandemic	HDH	2006/07	1.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2460	IF A(H1N2)	HDH	2006/07	0.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2461	IF A(H3N2)	HDH	2006/07	1.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2462	IF A/B not determined	HDH	2006/07	0.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2463	IF B	HDH	2006/07	0.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2464	IF C	HDH	2006/07	0.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2465	not determined	HDH	2006/07	0.0	2006	62712.0	134164.0	214.0	300.0	123790.24	197.39	62712.52	627.1252	627.13	202.40272727272725
2466	IF A	HNL	2006/07	15.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2467	IF A(H1N1) pandemic09	HNL	2006/07	0.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2468	IF A(H1N1) prepandemic	HNL	2006/07	1.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2469	IF A(H1N2)	HNL	2006/07	0.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2470	IF A(H3N2)	HNL	2006/07	8.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2471	IF A/B not determined	HNL	2006/07	64.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2472	IF B	HNL	2006/07	0.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2473	IF C	HNL	2006/07	0.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2474	not determined	HNL	2006/07	0.0	2006	109995.0	329979.0	300.0	300.0	307839.76	279.87	109992.76	1099.9276	1099.93	291.55227272727274
2475	IF A	HNS	2006/07	0.0	2006	9988.0	121384.0	1215.0	300.0	110330.78	1104.63	9988.33	99.8833	99.88	1161.2409090909089
2476	IF A(H1N1) pandemic09	HNS	2006/07	5.0	2006	9988.0	121384.0	1215.0	300.0	110330.78	1104.63	9988.33	99.8833	99.88	1161.2409090909089
